央视频道,#genre#
CCTV-1,http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1,http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8
CCTV-1,http://iptv.cooltv.top/tv/aishang.php?id=cctv1hd
CCTV-1,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv1HD/__op/default/__f//index.m3u8
CCTV-1,http://125.210.152.19:9120/live/hzgq-cctv1gq-h264.m3u8
CCTV-1,http://39.134.115.221:8080/PLTV/88888910/224/3221225630/index.m3u8
CCTV-1,https://live.v1.mk/api/ghyx.php?id=CCTV1HD_6000
CCTV-1,http://39.134.115.221:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV-1,http://218.29.55.44:808/hls/1/index.m3u8
CCTV-1,http://125.210.152.19:9120/live/hzgq-cctv1gq-h264.m3u8
CCTV-1,http://live.cooltv.top/tv/aishang.php?id=cctv1hd
CCTV-1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV-1,http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8
CCTV-1,http://39.135.138.58:18890/PLTV/88888888/224/3221225918/index.m3u8
CCTV-1,http://39.135.138.58:18890/PLTV/88888888/224/3221226221/index.m3u8
CCTV-1,http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225618/index.m3u8
CCTV-1,http://ktwlplkf.f3322.org:9901/tsfile/live/0001_1.m3u8
CCTV-1,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240127_1/encoder/0/playlist.m3u8?
CCTV-1,http://39.135.137.205/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1,http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8
CCTV-1,http://39.136.48.18:8089/PLTV/88888888/224/3221225859/index.m3u8
CCTV-1,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240127_1/encoder/0/playlist.m3u8?
CCTV-1,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1,http://39.134.115.163:8080/PLTV/88888910/224/3221226221/index.m3u8
CCTV-1,http://39.134.115.163:8080/PLTV/88888910/224/3221225918/index.m3u8
CCTV-2,http://39.135.138.60:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2,http://39.135.138.60:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV-2,http://iptv.cooltv.top/tv/aishang.php?id=cctv2hd
CCTV-2,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv2HD/__op/default/__f//index.m3u8
CCTV-2,http://125.210.152.19:9120/live/hzgq-cctv2gq-h264.m3u8
CCTV-2,http://218.29.55.44:808/hls/2/index.m3u8
CCTV-2,https://live.v1.mk/api/ghyx.php?id=CCTV2HD_6000
CCTV-2,http://live.cooltv.top/tv/aishang.php?id=cctv2hd
CCTV-2,http://1.195.111.251:11190/tsfile/live/0002_1.m3u8
CCTV-2,http://39.135.138.59:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2,http://hls.yun.gehua.net.cn:8088/live/CCTV2HD_1200.m3u8
CCTV-2,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225619/index.m3u8
CCTV-3,http://39.135.138.60:18890/PLTV/88888910/224/3221225647/index.m3u8
CCTV-3,http://iptv.cooltv.top/tv/aishang.php?id=cctv3hd
CCTV-3,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv3HD/__op/default/__f//index.m3u8
CCTV-3,http://125.210.152.19:9120/live/hzgq-cctv3gq-h264.m3u8
CCTV-3,https://live.v1.mk/api/ghyx.php?id=CCTV3HD_6000
CCTV-3,http://live.cooltv.top/tv/aishang.php?id=cctv3hd
CCTV-3,http://218.29.55.44:808/hls/3/index.m3u8
CCTV-3,http://39.134.115.221:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV-3,http://39.134.115.221:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV-3,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225647/index.m3u8
CCTV-4,http://39.135.138.60:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV-4,http://iptv.cooltv.top/tv/aishang.php?id=cctv4hd
CCTV-4,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv4HD/__op/default/__f//index.m3u8
CCTV-4,http://125.210.152.19:9120/live/hzgq-cctv4gq-h264.m3u8
CCTV-4,https://live.v1.mk/api/ghyx.php?id=CCTV4HD_6000
CCTV-4,http://live.cooltv.top/tv/aishang.php?id=cctv4hd
CCTV-4,http://218.29.55.44:808/hls/4/index.m3u8
CCTV-4,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV-4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV-5,http://39.135.138.59:18890/PLTV/88888910/224/3221225648/index.m3u8
CCTV-5,http://39.135.138.59:18890/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5,http://iptv.cooltv.top/tv/aishang.php?id=cctv5hd
CCTV-5,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv5HD/__op/default/__f//index.m3u8
CCTV-5,http://125.210.152.19:9120/live/hzgq-cctv5gq-h264.m3u8
CCTV-5,https://live.v1.mk/api/ghyx.php?id=CCTV5HD_6000
CCTV-5,http://live.cooltv.top/tv/aishang.php?id=cctv5hd
CCTV-5,http://39.134.115.221:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5,http://218.29.55.44:808/hls/5/index.m3u8
CCTV-5⁺,http://125.210.152.19:9120/live/hzgq-cctvzhgq-h264.m3u8
CCTV-5⁺,https://live.v1.mk/api/ghyx.php?id=CCTV5plusHD_6000
CCTV-5⁺,http://39.134.115.221:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV-5⁺,http://xuehanwei.my03.com:8888/udp/239.253.92.82:8013
CCTV-5⁺,http://39.134.115.163:8080/PLTV/88888910/224/3221225706/index.m3u8
CCTV-6,http://39.135.138.59:18890/PLTV/88888910/224/3221225650/index.m3u8
CCTV-6,http://39.135.138.59:18890/PLTV/88888910/224/3221225632/index.m3u8
CCTV-6,http://iptv.cooltv.top/tv/aishang.php?id=cctv6hd
CCTV-6,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv6HD/__op/default/__f//index.m3u8
CCTV-6,http://125.210.152.19:9120/live/hzgq-cctv6gq-h264.m3u8
CCTV-6,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv6HD/__op/default/__f//index.m3u8
CCTV-6,http://39.134.115.221:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV-6,https://live.v1.mk/api/ghyx.php?id=CCTV6HD_6000
CCTV-6,http://live.cooltv.top/tv/aishang.php?id=cctv6hd
CCTV-6,http://218.29.55.44:808/hls/6/index.m3u8
CCTV-6,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225650/index.m3u8
CCTV-7,http://39.135.138.60:18890/PLTV/88888910/224/3221225624/index.m3u8
CCTV-7,http://39.135.138.59:18890/PLTV/88888910/224/3221225644/index.m3u8
CCTV-7,http://iptv.cooltv.top/tv/aishang.php?id=cctv7hd
CCTV-7,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv7HD/__op/default/__f//index.m3u8
CCTV-7,http://125.210.152.19:9120/live/hzgq-cctv7gq-h264.m3u8
CCTV-7,https://live.v1.mk/api/ghyx.php?id=CCTV7HD_6000
CCTV-7,http://live.cooltv.top/tv/aishang.php?id=cctv7hd
CCTV-7,http://218.29.55.44:808/hls/7/index.m3u8
CCTV-7,http://39.134.115.221:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV-7,http://39.134.115.221:8080/PLTV/88888910/224/3221225644/index.m3u8
CCTV-8,http://39.135.138.60:18890/PLTV/88888910/224/3221225635/index.m3u8
CCTV-8,http://39.135.138.59:18890/PLTV/88888910/224/3221225631/index.m3u8
CCTV-8,http://iptv.cooltv.top/tv/aishang.php?id=cctv8hd
CCTV-8,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv8HD/__op/default/__f//index.m3u8
CCTV-8,http://125.210.152.19:9120/live/hzgq-cctv8gq-h264.m3u8
CCTV-8,https://live.v1.mk/api/ghyx.php?id=CCTV8HD_6000
CCTV-8,http://live.cooltv.top/tv/aishang.php?id=cctv8hd
CCTV-8,http://218.29.55.44:808/hls/8/index.m3u8
CCTV-8,http://39.134.115.221:8080/PLTV/88888910/224/3221225631/index.m3u8
CCTV-8,http://39.134.115.221:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV-8,http://1.195.111.251:11190/tsfile/live/0008_1.m3u8
CCTV-8,http://39.135.138.60:18890/PLTV/88888910/224/3221225635/index.m3u8
CCTV-8,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225635/index.m3u8
CCTV-9,http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8
CCTV-9,http://39.135.138.60:18890/PLTV/88888910/224/3221225646/index.m3u8
CCTV-9,http://iptv.cooltv.top/tv/aishang.php?id=cctv9hd2
